Host,Port,UID,Status,RTT_ms,ResponseHex,Note
127.0.0.1,5020,1,Active,0,000100000006010800001234,OK
127.0.0.1,5020,2,Rejected,0,00020000000302800b,Validation failed
127.0.0.1,5020,3,Rejected,0,00030000000303800b,Validation failed
127.0.0.1,5020,4,Rejected,0,00040000000304800b,Validation failed
127.0.0.1,5020,5,Rejected,0,00050000000305800b,Validation failed
127.0.0.1,5020,6,Rejected,0,00060000000306800b,Validation failed
127.0.0.1,5020,7,Rejected,0,00070000000307800b,Validation failed
127.0.0.1,5020,8,Rejected,0,00080000000308800b,Validation failed
127.0.0.1,5020,9,Rejected,0,00090000000309800b,Validation failed
127.0.0.1,5020,10,Rejected,0,000a000000030a800b,Validation failed
127.0.0.1,5020,11,Rejected,0,000b000000030b800b,Validation failed
127.0.0.1,5020,12,Rejected,16,000c000000030c800b,Validation failed
127.0.0.1,5020,13,Rejected,31,000d000000030d800b,Validation failed
127.0.0.1,5020,14,Rejected,14,000e000000030e800b,Validation failed
127.0.0.1,5020,15,Rejected,16,000f000000030f800b,Validation failed
